시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명
서울특별시 강남구 개포동,652,652,0,개포우성3차,133.46,202001,9,220000,3,1984,개포로 307
서울특별시 강남구 개포동,12-2,12,2,개포자이(12-2),134.3,202001,6,203000,17,2004,개포로109길 69
서울특별시 강남구 개포동,185,185,0,개포주공 6단지,60.13,202001,14,180000,14,1983,개포로 516
서울특별시 강남구 개포동,185,185,0,개포주공 7단지,60.76,202001,12,171000,2,1983,개포로 516
서울특별시 강남구 개포동,138,138,0,디에이치아너힐즈,94.29,202001,4,285000,12,2019,삼성로 11
서울특별시 강남구 개포동,1280,1280,0,래미안블레스티지,59.897,202001,17,188000,4,2019,선릉로 8
서울특별시 강남구 개포동,12,12,0,삼익대청아파트,60,202001,11,146000,14,1992,개포로109길 21
서울특별시 강남구 개포동,12,12,0,삼익대청아파트,39.53,202001,31,100500,13,1992,개포로109길 21
서울특별시 강남구 개포동,12,12,0,성원대치2단지아파트,49.86,202001,4,124500,6,1992,개포로109길 9
서울특별시 강남구 개포동,12,12,0,성원대치2단지아파트,39.53,202001,10,103000,2,1992,개포로109길 9
서울특별시 강남구 개포동,12,12,0,성원대치2단지아파트,39.53,202001,13,111000,14,1992,개포로109길 9
서울특별시 강남구 개포동,12,12,0,성원대치2단지아파트,39.53,202001,28,107000,3,1992,개포로109길 9
서울특별시 강남구 논현동,241-1,241,1,논현파라곤,120.21,202001,20,150000,12,2007,학동로 338
서울특별시 강남구 논현동,258,258,0,두산위브2단지,83.464,202001,20,137000,9,2004,언주로122길 25
서울특별시 강남구 논현동,55,55,0,스위트캐슬레지던스,203.17,202001,17,240000,6,2004,학동로7길 6
서울특별시 강남구 논현동,22,22,0,신동아(22),84.52,202001,18,144000,11,1997,강남대로146길 28
서울특별시 강남구 논현동,22,22,0,신동아(22),114.34,202001,20,165000,13,1997,강남대로146길 28
서울특별시 강남구 논현동,22,22,0,신동아(22),35.73,202001,30,80000,11,1997,강남대로146길 28
서울특별시 강남구 논현동,108-2,108,2,제이빌,75.12,202001,14,80000,2,2004,학동로43길 30
서울특별시 강남구 논현동,62-3,62,3,"청학아파트 에이동,비동,씨동",85.12,202001,17,110000,5,1976,도산대로 232
서울특별시 강남구 논현동,221-7,221,7,한양수자인어반게이트,16.2,202001,31,21200,3,2013,봉은사로29길 35
서울특별시 강남구 대치동,891-28,891,28,대치동우정에쉐르1,79.07,202001,7,84000,2,2004,삼성로85길 38
서울특별시 강남구 대치동,888,888,0,대치아이파크,114.97,202001,2,300000,10,2008,선릉로 222
서울특별시 강남구 대치동,888,888,0,대치아이파크,84.95,202001,11,247000,12,2008,선릉로 222
서울특별시 강남구 대치동,888,888,0,대치아이파크,84.93,202001,14,252500,9,2008,선릉로 222
서울특별시 강남구 대치동,63,63,0,"대치우성아파트1동, 2동, 3동, 5동, 6동, 7동",84.69,202001,20,208000,2,1984,영동대로 230
서울특별시 강남구 대치동,670,670,0,동부센트레빌,145.83,202001,9,375000,8,2005,선릉로 206
서울특별시 강남구 대치동,670,670,0,동부센트레빌,145.83,202001,23,370000,20,2005,선릉로 206
서울특별시 강남구 대치동,1027,1027,0,래미안대치팰리스,94.5,202001,4,340000,11,2015,삼성로51길 37
서울특별시 강남구 대치동,506,506,0,선경2차(8동-12동),127.75,202001,14,300000,12,1985,삼성로 151
서울특별시 강남구 대치동,890-49,890,49,선릉역대우아이빌(890-49),25.42,202001,8,24500,14,2004,테헤란로64길 9
서울특별시 강남구 대치동,316,316,0,은마,84.43,202001,14,220000,13,1979,삼성로 212
서울특별시 강남구 대치동,891-6,891,6,테헤란로대우아이빌(891-6),29.02,202001,21,34000,13,2004,테헤란로 428
서울특별시 강남구 대치동,902,902,0,포스코더샵,139.54,202001,2,247000,3,2004,삼성로 417
서울특별시 강남구 대치동,992,992,0,현대1,84.27,202001,13,165000,4,1990,영동대로57길 28
서울특별시 강남구 도곡동,467-6,467,6,대림아크로빌,177.255,202001,23,230000,20,1999,언주로30길 13
서울특별시 강남구 도곡동,467-6,467,6,대림아크로빌,172.464,202001,31,237000,30,1999,언주로30길 13
서울특별시 강남구 도곡동,543-7,543,7,도곡1차아이파크,130.259,202001,13,225000,10,2007,도곡로28길 8
서울특별시 강남구 도곡동,527,527,0,도곡렉슬,59.9772,202001,29,164800,19,2006,선릉로 221
서울특별시 강남구 도곡동,462-2,462,2,로덴하우스 웨스트빌리지,273.68,202001,21,545000,19,2009,남부순환로378길 11
서울특별시 강남구 도곡동,161,161,0,삼성,73.41,202001,10,148000,2,1994,남부순환로379길 14
서울특별시 강남구 도곡동,91-5,91,5,삼성래미안,84.89,202001,15,192000,7,2001,남부순환로 2803
서울특별시 강남구 도곡동,467-7,467,7,아카데미스위트1,164.87,202001,2,200000,7,2004,언주로30길 21
서울특별시 강남구 도곡동,467-7,467,7,아카데미스위트1,122.07,202001,30,168500,35,2004,언주로30길 21
서울특별시 강남구 도곡동,463-1,463,1,우성사원5,70.89,202001,6,130000,4,1986,언주로29길 34
서울특별시 강남구 도곡동,463-1,463,1,우성사원5,70.89,202001,13,146000,2,1986,언주로29길 34
서울특별시 강남구 도곡동,463-1,463,1,우성사원5,70.89,202001,31,149500,7,1986,언주로29길 34
서울특별시 강남구 도곡동,467-24,467,24,우성캐릭터199,132.94,202001,2,170000,5,1998,언주로 118
서울특별시 강남구 도곡동,467-24,467,24,우성캐릭터199,132.94,202001,13,174000,25,1998,언주로 118
서울특별시 강남구 도곡동,467-17,467,17,타워팰리스2,164.99,202001,6,310000,35,2003,언주로30길 57
서울특별시 강남구 도곡동,467-17,467,17,타워팰리스2,115.63,202001,9,232000,31,2003,언주로30길 57
서울특별시 강남구 도곡동,467-17,467,17,타워팰리스2,164.99,202001,9,310000,35,2003,언주로30길 57
서울특별시 강남구 도곡동,467-29,467,29,타워팰리스3,141.381,202001,16,270000,35,2004,언주로30길 26
서울특별시 강남구 도곡동,944-5,944,5,현대아이리스1,113.18,202001,14,95000,4,2004,도곡로6길 14
서울특별시 강남구 삼성동,104-10,104,10,레미안삼성1차(104),125.8,202001,30,245000,11,2005,영동대로114길 56
서울특별시 강남구 삼성동,147-2,147,2,미켈란147,83.69,202001,10,148000,16,2004,봉은사로 516
서울특별시 강남구 삼성동,43,43,0,삼성동 롯데캐슬 킹덤,170.8,202001,17,295000,12,2005,선릉로112길 53
서울특별시 강남구 삼성동,129-5,129,5,삼성팰리스,174.1,202001,16,161000,6,2005,테헤란로79길 31
서울특별시 강남구 삼성동,71-16,71,16,삼성팰리스(71-16),114.26,202001,20,145000,8,2006,삼성로112길 8
서울특별시 강남구 삼성동,2,2,0,서광아파트,59.67,202001,10,145000,4,1998,선릉로130길 19
서울특별시 강남구 삼성동,50,50,0,현대힐스테이트 2단지,84.679,202001,3,224500,5,2008,삼성로111길 8
서울특별시 강남구 삼성동,50,50,0,현대힐스테이트 2단지,38.671,202001,8,124500,21,2008,삼성로111길 8
서울특별시 강남구 세곡동,525,525,0,강남데시앙파크,114.69,202001,28,125000,4,2011,헌릉로590길 63
서울특별시 강남구 세곡동,579,579,0,강남엘에이치1단지,74.74,202001,6,106500,4,2013,헌릉로571길 20
서울특별시 강남구 세곡동,533,533,0,세곡푸르지오,74.74,202001,11,124000,14,2012,자곡로 21
서울특별시 강남구 세곡동,533,533,0,세곡푸르지오,59.89,202001,28,108500,5,2012,자곡로 21
서울특별시 강남구 세곡동,533,533,0,세곡푸르지오,59.89,202001,30,107000,13,2012,자곡로 21
서울특별시 강남구 수서동,746,746,0,까치마을,39.6,202001,3,87000,13,1993,광평로19길 10
서울특별시 강남구 수서동,746,746,0,까치마을,34.44,202001,15,79500,9,1993,광평로19길 10
서울특별시 강남구 수서동,746,746,0,까치마을,39.6,202001,17,85000,3,1993,광평로19길 10
서울특별시 강남구 수서동,746,746,0,까치마을,39.6,202001,18,84000,2,1993,광평로19길 10
서울특별시 강남구 수서동,746,746,0,까치마을,39.6,202001,28,89900,8,1993,광평로19길 10
서울특별시 강남구 수서동,708,708,0,삼익,60,202001,20,120000,15,1992,광평로51길 27
서울특별시 강남구 수서동,708,708,0,삼익,60,202001,31,119000,2,1992,광평로51길 27
서울특별시 강남구 수서동,708,708,0,삼익,84.48,202001,31,139000,2,1992,광평로51길 27
서울특별시 강남구 수서동,736,736,0,신동아,33.18,202001,4,88000,7,1992,광평로47길 17
서울특별시 강남구 수서동,736,736,0,신동아,39.53,202001,4,102000,9,1992,광평로47길 17
서울특별시 강남구 수서동,736,736,0,신동아,49.96,202001,11,109000,6,1992,광평로47길 17
서울특별시 강남구 수서동,736,736,0,신동아,39.51,202001,18,100000,10,1992,광평로47길 17
