시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명
서울특별시 강남구 개포동,655-2,655,2,개포2차현대아파트(220),77.75,201911,18,160000,2,1988,언주로 103
서울특별시 강남구 개포동,652,652,0,개포우성3차,104.43,201911,12,182000,14,1984,개포로 307
서울특별시 강남구 개포동,652,652,0,개포우성3차,161,201911,15,265000,15,1984,개포로 307
서울특별시 강남구 개포동,652,652,0,개포우성3차,104.43,201911,17,187000,3,1984,개포로 307
서울특별시 강남구 개포동,12-2,12,2,개포자이(12-2),170.32,201911,16,202500,2,2004,개포로109길 69
서울특별시 강남구 개포동,12-2,12,2,개포자이(12-2),134.3,201911,23,195000,10,2004,개포로109길 69
서울특별시 강남구 개포동,12-2,12,2,개포자이(12-2),170.32,201911,26,215000,18,2004,개포로109길 69
서울특별시 강남구 개포동,141,141,0,개포주공 1단지,50.38,201911,4,270000,3,1982,개포로 310
서울특별시 강남구 개포동,141,141,0,개포주공 1단지,50.38,201911,7,219000,5,1982,개포로 310
서울특별시 강남구 개포동,141,141,0,개포주공 1단지,50.38,201911,10,219000,4,1982,개포로 310
서울특별시 강남구 개포동,141,141,0,개포주공 1단지,50.64,201911,11,218000,5,1982,개포로 310
서울특별시 강남구 개포동,141,141,0,개포주공 1단지,50.38,201911,18,215000,4,1982,개포로 310
서울특별시 강남구 개포동,141,141,0,개포주공 1단지,50.38,201911,19,218000,4,1982,개포로 310
서울특별시 강남구 개포동,141,141,0,개포주공 1단지,35.44,201911,25,179000,4,1982,개포로 310
서울특별시 강남구 개포동,141,141,0,개포주공 1단지,41.98,201911,25,205000,1,1982,개포로 310
서울특별시 강남구 개포동,141,141,0,개포주공 1단지,50.64,201911,27,215000,5,1982,개포로 310
서울특별시 강남구 개포동,141,141,0,개포주공 1단지,50.64,201911,30,215000,1,1982,개포로 310
서울특별시 강남구 개포동,141,141,0,개포주공 1단지,56.57,201911,30,286500,3,1982,선릉로 7
서울특별시 강남구 개포동,187,187,0,개포주공 5단지,74.25,201911,2,195000,13,1983,삼성로4길 17
