시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명
서울특별시 강남구 개포동,658-1,658,1,개포6차우성아파트1동~8동,54.98,202002,24,144000,4,1987,언주로 3
서울특별시 강남구 개포동,652,652,0,개포우성3차,161,202002,11,270000,15,1984,개포로 307
서울특별시 강남구 개포동,12-2,12,2,개포자이(12-2),134.3,202002,26,206000,7,2004,개포로109길 69
서울특별시 강남구 개포동,141,141,0,개포주공 1단지,42.55,202002,11,192000,4,1982,개포로 310
서울특별시 강남구 개포동,141,141,0,개포주공 1단지,58.08,202002,14,240000,3,1982,개포로 310
서울특별시 강남구 개포동,141,141,0,개포주공 1단지,58.08,202002,15,242000,1,1982,개포로 310
서울특별시 강남구 개포동,141,141,0,개포주공 1단지,35.87,202002,15,163000,1,1982,개포로 310
서울특별시 강남구 개포동,141,141,0,개포주공 1단지,50.64,202002,15,213000,5,1982,개포로 310
서울특별시 강남구 개포동,141,141,0,개포주공 1단지,42.55,202002,17,202000,4,1982,개포로 310
서울특별시 강남구 개포동,141,141,0,개포주공 1단지,58.08,202002,17,315000,4,1982,개포로 310
서울특별시 강남구 개포동,141,141,0,개포주공 1단지,35.64,202002,18,170000,5,1982,개포로 310
서울특별시 강남구 개포동,141,141,0,개포주공 1단지,50.64,202002,20,260000,4,1982,개포로 310
서울특별시 강남구 개포동,187,187,0,개포주공 5단지,61.19,202002,6,177000,14,1983,삼성로4길 17
서울특별시 강남구 개포동,187,187,0,개포주공 5단지,83.17,202002,18,198000,12,1983,삼성로4길 17
서울특별시 강남구 개포동,187,187,0,개포주공 5단지,61.19,202002,29,170000,10,1983,삼성로4길 17
서울특별시 강남구 개포동,185,185,0,개포주공 6단지,60.13,202002,19,167700,2,1983,개포로 516
서울특별시 강남구 개포동,185,185,0,개포주공 6단지,53.06,202002,28,157000,12,1983,개포로 516
서울특별시 강남구 개포동,185,185,0,개포주공 7단지,53.46,202002,6,154500,12,1983,개포로 516
서울특별시 강남구 개포동,649,649,0,경남1,96.98,202002,17,197000,2,1984,언주로 110
서울특별시 강남구 개포동,1280,1280,0,래미안블레스티지,59.967,202002,12,175000,8,2019,선릉로 8
서울특별시 강남구 개포동,1280,1280,0,래미안블레스티지,84.943,202002,13,244000,10,2019,선릉로 8
서울특별시 강남구 개포동,1280,1280,0,래미안블레스티지,84.943,202002,21,243000,9,2019,선릉로 8
서울특별시 강남구 개포동,12,12,0,삼익대청아파트,39.53,202002,11,100500,8,1992,개포로109길 21
서울특별시 강남구 개포동,12,12,0,삼익대청아파트,51.12,202002,18,123000,7,1992,개포로109길 21
서울특별시 강남구 개포동,12,12,0,삼익대청아파트,51.12,202002,26,126750,8,1992,개포로109길 21
서울특별시 강남구 개포동,176-1,176,1,상지리츠빌,161.07,202002,12,215000,6,2003,개포로 405
서울특별시 강남구 개포동,12,12,0,성원대치2단지아파트,33.18,202002,17,94000,10,1992,개포로109길 9
서울특별시 강남구 개포동,12,12,0,성원대치2단지아파트,33.18,202002,20,96500,9,1992,개포로109길 9
서울특별시 강남구 개포동,12,12,0,성원대치2단지아파트,49.86,202002,29,125000,14,1992,개포로109길 9
서울특별시 강남구 개포동,1164-7,1164,7,아람손프라자/비바빌,59.96,202002,29,34300,3,2001,논현로2길 22
서울특별시 강남구 개포동,651-1,651,1,"우성9차아파트 901동, 902동",84.9,202002,12,199947,9,1991,개포로 311
서울특별시 강남구 논현동,215-14,215,14,논현아트빌,90.38,202002,19,96800,2,2003,논현로124길 7
서울특별시 강남구 논현동,105,105,0,동현아파트 1~6,84.92,202002,7,165000,5,1985,언주로146길 18
서울특별시 강남구 논현동,22,22,0,신동아(22),35.73,202002,3,80000,9,1997,강남대로146길 28
서울특별시 강남구 논현동,22,22,0,신동아(22),114.34,202002,20,172000,12,1997,강남대로146길 28
서울특별시 강남구 논현동,103,103,0,쌍용,59.91,202002,12,89900,12,1996,도산대로50길 43
서울특별시 강남구 논현동,103,103,0,쌍용,59.91,202002,28,91000,3,1996,도산대로50길 43
서울특별시 강남구 논현동,276-1,276,1,아크로힐스논현,113.231,202002,19,228000,14,2014,언주로 604
서울특별시 강남구 논현동,221-7,221,7,한양수자인어반게이트,16.2,202002,8,21500,6,2013,봉은사로29길 35
서울특별시 강남구 논현동,221-7,221,7,한양수자인어반게이트,16.2,202002,14,22000,4,2013,봉은사로29길 35
서울특별시 강남구 논현동,221-7,221,7,한양수자인어반게이트,16.2,202002,19,21000,3,2013,봉은사로29길 35
서울특별시 강남구 논현동,221-7,221,7,한양수자인어반게이트,16.2,202002,21,22000,6,2013,봉은사로29길 35
서울특별시 강남구 논현동,46-2,46,2,힐스빌7,139.46,202002,24,119750,2,2003,학동로5길 22
서울특별시 강남구 대치동,500,500,0,개포우성2,84.69,202002,20,247500,8,1984,선릉로 120
서울특별시 강남구 대치동,891-26,891,26,대우아이빌멤버스(891-26),35.236,202002,16,36000,12,2003,삼성로85길 42
서울특별시 강남구 대치동,1014-3,1014,3,대치삼성,97.35,202002,14,232000,11,2000,도곡로78길 22
서울특별시 강남구 대치동,1014-3,1014,3,대치삼성,97.35,202002,29,234000,5,2000,도곡로78길 22
서울특별시 강남구 대치동,888,888,0,대치아이파크,119.58,202002,24,305000,13,2008,선릉로 222
서울특별시 강남구 대치동,63,63,0,"대치우성아파트1동, 2동, 3동, 5동, 6동, 7동",115.59,202002,21,230000,14,1984,영동대로 230
서울특별시 강남구 대치동,63,63,0,"대치우성아파트1동, 2동, 3동, 5동, 6동, 7동",115.59,202002,24,227000,5,1984,영동대로 230
서울특별시 강남구 대치동,985,985,0,래미안 대치 하이스턴,110.39,202002,19,230000,6,1989,도곡로93길 12
서울특별시 강남구 대치동,890-49,890,49,선릉역대우아이빌(890-49),28.34,202002,20,26000,11,2004,테헤란로64길 9
서울특별시 강남구 대치동,66,66,0,"쌍용대치아파트1동, 2동, 3동, 5동, 6동",83.56,202002,1,205000,13,1983,영동대로 210
서울특별시 강남구 대치동,66,66,0,"쌍용대치아파트1동, 2동, 3동, 5동, 6동",128.03,202002,28,251000,4,1983,영동대로 210
